folder,date,author,name,val_bpb,val_bpb_std,artifact_bytes,seeds,hardware,quantization,compression,technique_summary
2026-03-31_Scylla_FullGPTQ_XSA11_FA3_0.9485,2026-03-31,icryo,Scylla tokenizer + Full GPTQ + XSA-all + FA3,0.9485,,15600000,,,,,"Scylla TokenMonster tokenizer (998 tokens) + PR #1060 stack (Full Hessian GPTQ, XSA on all 11 layers, coprime-stride loa"
2026-04-09_SP8192_3LayerRecur_ParResid_QK525_LegalTTT,2026-04-09,bigbag,SP8192 + 3-Layer Recurrence + Parallel Residuals + QK-Gain 5.25 + Legal Score-First TTT,1.081,0.0002,15992693,42;314;999,8xH100 80GB SXM,,,SP8192 + 3-Layer Depth Recurrence (L3-5) + Parallel Residuals (L7+) + QK-Gain 5.25 + EMA 0.9965 + WD 0.095 + Score-First TTT (SGD 3ep) + GPTQ SDClip + Brotli
2026-04-08_SP8192_ParallelResid_ScoreFirstTTT,2026-04-08,aryanbhosale,SP8192 + Parallel Residuals + Score-First TTT,1.08217956,0.00045881,15991486,42;314;999,8xH100 80GB SXM,,,SP8192 + MLP 4x + Parallel Residuals (layer 7+) + Score-First TTT + Depth Recurrence + MuonEq-R + QK-Gain 5.0 + SDClip + GPTQ Embeddings + Brotli
2026-04-06_SP8192_QK5_LegalTTT_1.0828,2026-04-06,dexhunter,SP8192 + QK-Gain 5 + Legal Score-First TTT,1.08279384,,15992546,"{'0': {'val_bpb': 1.08209788, 'val_loss': 2.79517119, 'bytes_total': 15991018, 'train_time_ms': 588004, 'ttt_time_ms': 293430}, '42': {'val_bpb': 1.083148, 'val_loss': 2.79788378, 'bytes_total': 15992546, 'train_time_ms': 588009, 'ttt_time_ms': 289945}, '1234': {'val_bpb': 1.08313564, 'val_loss': 2.79785185, 'bytes_total': 15989058, 'train_time_ms': 588000, 'ttt_time_ms': 295337}}",,,,"PR #1394 sp8192 stack + QK_GAIN_INIT=5.0 + legal score-first TTT (TTT_LR=0.005, freeze 0 blocks, 3 epochs). 3-seed mean "
2026-04-06_SP8192_HessianSDClip_ProgressiveRecurrence,2026-04-06,Robby Sneiderman,Non-record: Parallel Residuals + Hessian-Aware SDClip,1.08354,0.0005,15978121,1337;42;3141,8xH100 80GB SXM,,,"Three zero-cost modifications on PR #1394: GPT-J parallel residuals (layers 7+), Hessian-diagonal SDClip modulation (lam"
2026-04-05_SP8192_GPTQ-Embeddings_SDClip_Loop45x2,2026-04-05,Kevin Clark,SP8192 + GPTQ Embeddings + Depth Recurrence + MuonEq-R + SD-Clip + Simplifications,1.08563,0.0007,15985677,1;42;1234;1337;2025,8xH100 80GB SXM,,,"8192-token sentencepiece vocab, GPTQ-quantize embeddings, loop layers 4,5 two times, row-normalized muon, standard-devia"
2026-04-04_SP4096_DepthRecurrence_ParallelResid_MuonEqR,2026-04-04,aryanbhosale,SP4096 + Depth Recurrence + Parallel Residuals + MuonEq-R + QK-Gain 5.0,1.08971631,0.00028794,15993586,42;314;999,8xH100 80GB SXM,,,SP4096 + MLP 4x + WD 0.090 + Depth Recurrence + Parallel Residuals + MuonEq-R + QK-Gain 5.0 + Full GPTQ int6 + Brotli
2026-04-03_MuonEqR_DepthRecurrence_WD090_AllInt6,2026-04-03,dexhunter,Record: MuonEq-R + Depth Recurrence + WD=0.090 + All-Int6 GPTQ,1.0912,,15967483,42;0;1337,,,,WD-quantization synergy: higher weight decay (0.090) improves compression enough to keep ALL 66 layers at int6. Combined
2026-04-01_Vocab4096_MLPMult4_WD085,2026-04-01,Kevin Clark,4096-Vocab + Larger Model + High WD + Simplifications,1.09785,0.0004,15916170,42;1337;2025,8xH100 80GB SXM,,,"Vocab 4096, MLP 4x, WD 0.085, co-prime data loader, GPTQ, brotli, sigmoid-gated UNet skips, simplified architecture"
2026-03-31_ParallelResiduals_MiniDepthRecurrence,2026-03-31,Marko Sisovic,Parallel Residuals + Mini Depth Recurrence,1.10625353,0.00167769,15936223,1337;42;2024,8xH100 80GB SXM,,,Parallel residuals + mini depth recurrence + mixed quantization + AR self-generated GPTQ + Brotli compression
